"clave","entidad_federativa","clave_delito","delito","2022","2021","2020","2019"
0,"Estados Unidos Mexicanos",80300,"Delitos en materia fiscal",1421,1733,12,2
0,"Estados Unidos Mexicanos",80400,"Delitos electorales",1393,5068,584,666
0,"Estados Unidos Mexicanos",80500,"Otros delitos contra la administración del Estado",3471,2720,3188,4737
0,"Estados Unidos Mexicanos",90100,"Amenazas",137811,121341,105464,110286
0,"Estados Unidos Mexicanos",90200,"Allanamiento de morada",14243,13801,12724,14128
0,"Estados Unidos Mexicanos",90300,"Falsedad",4816,4200,2489,3386
0,"Estados Unidos Mexicanos",90400,"Falsificación",17759,17148,14144,19730
0,"Estados Unidos Mexicanos",90501,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - Tráfico de flora o fauna silvestres en peligro de extinción, amenazadas o sujetas a protección",280,295,2,1
0,"Estados Unidos Mexicanos",90502,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - Comercialización de flora o fauna silvestres en peligro de extinción, amenazadas o sujetas a protección",20,0,69,NA
0,"Estados Unidos Mexicanos",90503,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - Caza, pesca o tala ilegal de flora o fauna silvestres en peligro de extinción, amenazadas o sujetas a protección",69,109,31,65
0,"Estados Unidos Mexicanos",90504,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - Transporte o manejo de residuos peligrosos",7,8,9,21
0,"Estados Unidos Mexicanos",90505,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - Daños a los ecosistemas o sus elementos",583,577,468,502
0,"Estados Unidos Mexicanos",90506,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - Otros delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental",1773,1391,886,832
0,"Estados Unidos Mexicanos",90507,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - No identificado",593,524,388,NA
0,"Estados Unidos Mexicanos",90600,"Delitos en materia de vías de comunicación y correspondencia",10006,11890,6097,5057
